type,powers
cmp,0.058
cmp,0.058
cmp,0.054
cmp,0.049
cmp,0.046
cmp,0.043
cmp,0.063
cmp,0.055
cmp,0.054
cmp,0.054
cmp,0.074
cmp,0.062
cmp,0.051
cmp,0.041
cmp,0.049
cmp,0.05
cmp,0.044
cmp,0.044
cmp,0.059
cmp,0.061
cmp,0.057
cmp,0.043
cmp,0.053
cmp,0.052
cmp,0.052
cmp,0.048
cmp,0.059
cmp,0.057
cmp,0.071
cmp,0.058
cmp,0.046
cmp,0.046
cmp,0.061
cmp,0.042
cmp,0.063
cmp,0.049
cmp,0.055
cmp,0.051
cmp,0.057
cmp,0.051
cmp,0.049
cmp,0.05
cmp,0.058
cmp,0.062
cmp,0.053
cmp,0.047
cmp,0.055
cmp,0.056
cmp,0.061
cmp,0.041
cmp,0.052
cmp,0.063
cmp,0.068
cmp,0.053
cmp,0.053
cmp,0.064
cmp,0.047
cmp,0.057
cmp,0.054
cmp,0.064
cmp,0.046
cmp,0.057
cmp,0.051
cmp,0.05
cmp,0.048
cmp,0.053
cmp,0.046
cmp,0.065
cmp,0.053
cmp,0.054
cmp,0.054
cmp,0.049
cmp,0.044
cmp,0.053
cmp,0.051
cmp,0.049
cmp,0.053
cmp,0.057
cmp,0.054
cmp,0.056
cmp,0.045
cmp,0.056
cmp,0.053
cmp,0.039
cmp,0.058
cmp,0.053
cmp,0.066
cmp,0.041
cmp,0.062
cmp,0.057
cmp,0.043
cmp,0.062
cmp,0.056
cmp,0.058
cmp,0.057
cmp,0.063
cmp,0.029
cmp,0.052
cmp,0.04
cmp,0.051
cmp,0.045
cmp,0.049
cmp,0.044
cmp,0.056
cmp,0.051
cmp,0.058
cmp,0.066
cmp,0.044
cmp,0.051
cmp,0.051
cmp,0.044
cmp,0.05
cmp,0.054
cmp,0.065
cmp,0.049
cmp,0.057
cmp,0.055
cmp,0.049
cmp,0.058
cmp,0.055
cmp,0.051
cmp,0.062
cmp,0.053
cmp,0.053
cmp,0.047
cmp,0.057
cmp,0.047
boot,0.042
boot,0.05
boot,0.047
boot,0.068
boot,0.045
boot,0.057
boot,0.053
boot,0.041
boot,0.062
boot,0.047
boot,0.056
boot,0.057
boot,0.043
boot,0.053
boot,0.065
boot,0.052
boot,0.059
boot,0.046
boot,0.061
boot,0.057
boot,0.052
boot,0.048
boot,0.063
boot,0.052
boot,0.048
boot,0.05
boot,0.041
boot,0.065
boot,0.057
boot,0.062
boot,0.051
boot,0.056
boot,0.06
boot,0.05
boot,0.056
boot,0.051
boot,0.046
boot,0.057
boot,0.05
boot,0.048
boot,0.063
boot,0.043
boot,0.051
boot,0.042
boot,0.045
boot,0.059
boot,0.051
boot,0.044
boot,0.036
boot,0.048
boot,0.051
boot,0.062
boot,0.05
boot,0.054
boot,0.043
boot,0.063
boot,0.045
boot,0.055
boot,0.046
boot,0.054
boot,0.058
boot,0.049
boot,0.052
boot,0.047
boot,0.066
boot,0.054
boot,0.058
boot,0.067
boot,0.051
boot,0.069
boot,0.061
boot,0.049
boot,0.049
boot,0.042
boot,0.042
boot,0.056
boot,0.048
boot,0.051
boot,0.054
boot,0.053
boot,0.054
boot,0.053
boot,0.054
boot,0.059
boot,0.06
boot,0.045
boot,0.051
boot,0.044
boot,0.055
boot,0.054
boot,0.057
boot,0.053
boot,0.055
boot,0.058
boot,0.052
boot,0.051
boot,0.043
boot,0.057
boot,0.058
boot,0.038
boot,0.045
boot,0.053
boot,0.046
boot,0.054
boot,0.055
boot,0.047
boot,0.056
boot,0.044
boot,0.063
boot,0.051
boot,0.063
boot,0.044
boot,0.068
boot,0.056
boot,0.075
boot,0.062
boot,0.044
boot,0.067
boot,0.052
boot,0.052
boot,0.047
boot,0.054
boot,0.044
boot,0.044
boot,0.046
boot,0.047
boot,0.046
boot,0.055
boot,0.063
boot,0.039
boot,0.049
boot,0.052
boot,0.055
boot,0.047
boot,0.048
boot,0.057
boot,0.063
boot,0.06
boot,0.043
boot,0.045
boot,0.045
boot,0.054
boot,0.046
boot,0.055
boot,0.05
boot,0.051
boot,0.044
boot,0.047
boot,0.056
boot,0.043
boot,0.047
boot,0.058
boot,0.044
boot,0.054
boot,0.039
boot,0.055
boot,0.05
boot,0.057
boot,0.063
boot,0.051
boot,0.058
boot,0.055
boot,0.043
boot,0.058
boot,0.06
boot,0.053
boot,0.053
boot,0.052
boot,0.039
boot,0.047
boot,0.052
boot,0.063
boot,0.057
boot,0.046
boot,0.061
boot,0.047
boot,0.064
boot,0.051
boot,0.052
boot,0.055
boot,0.057
boot,0.041
boot,0.048
boot,0.054
boot,0.053
boot,0.052
boot,0.052
boot,0.051
boot,0.048
boot,0.062
boot,0.055
boot,0.049
boot,0.065
boot,0.063
boot,0.046
boot,0.048
boot,0.063
boot,0.049
boot,0.048
boot,0.047
boot,0.044
boot,0.067
boot,0.044
boot,0.043
boot,0.047
boot,0.059
boot,0.051
boot,0.044
boot,0.051
boot,0.045
boot,0.055
boot,0.045
boot,0.045
boot,0.058
boot,0.058
boot,0.051
boot,0.06
boot,0.055
boot,0.051
boot,0.057
boot,0.05
boot,0.066
boot,0.052
boot,0.052
boot,0.056
boot,0.047
boot,0.055
boot,0.043
boot,0.044
boot,0.057
boot,0.054
boot,0.051
boot,0.052
boot,0.054
boot,0.06
boot,0.064
boot,0.05
boot,0.04
boot,0.053
boot,0.049
boot,0.043
boot,0.059
boot,0.057
boot,0.049
boot,0.062
boot,0.051
boot,0.05
boot,0.059
boot,0.05
boot,0.046
boot,0.054
boot,0.046
boot,0.062
boot,0.034
boot,0.044
boot,0.06
boot,0.052
boot,0.056
boot,0.041
boot,0.047
boot,0.058
boot,0.061
boot,0.064
boot,0.052
boot,0.044
boot,0.061
boot,0.046
boot,0.048
boot,0.054
boot,0.058
boot,0.055
boot,0.056
boot,0.06
boot,0.051
boot,0.043
boot,0.061
boot,0.048
boot,0.049
boot,0.043
boot,0.066
boot,0.052
boot,0.054
boot,0.055
boot,0.059
boot,0.057
boot,0.05
boot,0.051
boot,0.053
boot,0.051
boot,0.048
boot,0.058
boot,0.057
boot,0.049
boot,0.052
boot,0.051
boot,0.061
boot,0.053
boot,0.057
boot,0.061
boot,0.055
boot,0.051
boot,0.046
boot,0.056
boot,0.052
boot,0.041
boot,0.052
boot,0.046
boot,0.05
boot,0.044
boot,0.05
boot,0.067
boot,0.05
boot,0.054
boot,0.056
boot,0.054
boot,0.061
boot,0.05
boot,0.049
boot,0.054
boot,0.051
boot,0.044
boot,0.055
boot,0.053
boot,0.048
boot,0.053
boot,0.063
boot,0.054
boot,0.053
boot,0.05
boot,0.041
boot,0.055
boot,0.05
boot,0.046
boot,0.054
boot,0.044
boot,0.047
boot,0.047
boot,0.04
boot,0.052
boot,0.045
boot,0.051
boot,0.058
boot,0.06
boot,0.063
boot,0.043
boot,0.052
boot,0.048
boot,0.053
boot,0.054
boot,0.059
boot,0.04
boot,0.059
boot,0.046
boot,0.051
boot,0.054
boot,0.06
boot,0.046
boot,0.043
boot,0.06
boot,0.047
boot,0.06
boot,0.038
boot,0.07
boot,0.053
boot,0.048
boot,0.055
boot,0.065
boot,0.058
boot,0.058
boot,0.054
boot,0.045
boot,0.061
boot,0.056
boot,0.044
boot,0.05
boot,0.058
boot,0.06
boot,0.05
boot,0.054
boot,0.046
boot,0.057
boot,0.051
boot,0.062
boot,0.05
boot,0.046
boot,0.051
boot,0.043
boot,0.048
boot,0.046
boot,0.062
boot,0.045
boot,0.063
boot,0.059
boot,0.057
boot,0.049
boot,0.04
boot,0.039
boot,0.054
boot,0.061
boot,0.057
boot,0.058
boot,0.048
boot,0.06
boot,0.051
boot,0.046
boot,0.057
boot,0.064
boot,0.05
boot,0.049
boot,0.056
boot,0.068
boot,0.049
boot,0.063
boot,0.057
boot,0.05
boot,0.05
boot,0.042
boot,0.061
boot,0.042
boot,0.05
boot,0.05
boot,0.05
boot,0.051
boot,0.057
boot,0.052
boot,0.056
boot,0.059
boot,0.06
boot,0.061
boot,0.053
boot,0.055
boot,0.061
boot,0.052
boot,0.047
boot,0.053
boot,0.049
boot,0.055
boot,0.052
boot,0.047
boot,0.056
boot,0.057
boot,0.048
boot,0.067
boot,0.05
boot,0.054
boot,0.051
boot,0.053
boot,0.049
boot,0.059
boot,0.054
boot,0.047
boot,0.054
boot,0.06
boot,0.062
boot,0.045
boot,0.056
boot,0.046
boot,0.047
boot,0.056
boot,0.055
boot,0.061
boot,0.049
boot,0.04
boot,0.057
boot,0.051
boot,0.051
boot,0.052
boot,0.057
boot,0.048
boot,0.05
boot,0.065
boot,0.048
boot,0.063
boot,0.048
boot,0.055
boot,0.047
boot,0.055
boot,0.056
boot,0.041
boot,0.055
boot,0.055
boot,0.053
boot,0.049
boot,0.056
boot,0.047
boot,0.045
boot,0.059
boot,0.054
boot,0.057
boot,0.053
boot,0.048
boot,0.061
boot,0.048
boot,0.056
boot,0.049
boot,0.06
boot,0.07
boot,0.056
boot,0.056
boot,0.053
boot,0.054
boot,0.056
boot,0.049
boot,0.047
boot,0.058
boot,0.056
boot,0.051
boot,0.056
boot,0.055
boot,0.058
boot,0.045
boot,0.053
boot,0.049
boot,0.055
boot,0.058
boot,0.058
boot,0.052
boot,0.059
boot,0.058
boot,0.063
boot,0.058
boot,0.048
boot,0.052
boot,0.045
boot,0.052
boot,0.05
boot,0.058
boot,0.045
boot,0.05
boot,0.059
boot,0.05
boot,0.06
boot,0.048
boot,0.046
boot,0.061
boot,0.052
boot,0.055
boot,0.064
boot,0.062
boot,0.065
boot,0.046
boot,0.044
boot,0.066
boot,0.063
boot,0.062
boot,0.059
boot,0.05
boot,0.063
boot,0.054
boot,0.059
boot,0.051
boot,0.059
boot,0.056
boot,0.062
boot,0.043
boot,0.049
boot,0.045
boot,0.057
boot,0.051
boot,0.045
boot,0.054
boot,0.049
boot,0.053
boot,0.047
boot,0.058
boot,0.047
boot,0.059
boot,0.05
boot,0.044
boot,0.05
boot,0.053
boot,0.058
boot,0.054
boot,0.048
boot,0.041
boot,0.045
boot,0.048
boot,0.036
boot,0.055
boot,0.055
boot,0.04
boot,0.049
boot,0.065
boot,0.053
boot,0.059
boot,0.055
boot,0.041
boot,0.052
boot,0.04
boot,0.068
boot,0.053
boot,0.059
boot,0.06
boot,0.049
boot,0.048
boot,0.043
boot,0.05
boot,0.049
boot,0.057
boot,0.051
boot,0.047
boot,0.064
boot,0.055
boot,0.071
boot,0.051
boot,0.073
boot,0.064
boot,0.059
boot,0.055
boot,0.06
boot,0.041
boot,0.039
boot,0.063
boot,0.041
boot,0.046
boot,0.053
boot,0.046
boot,0.038
boot,0.042
boot,0.051
boot,0.036
boot,0.05
boot,0.056
boot,0.053
boot,0.041
boot,0.051
boot,0.047
boot,0.063
boot,0.044
boot,0.045
boot,0.053
boot,0.038
boot,0.052
boot,0.06
boot,0.063
boot,0.052
boot,0.056
boot,0.05
boot,0.048
boot,0.056
boot,0.052
boot,0.048
boot,0.047
boot,0.045
boot,0.065
boot,0.056
boot,0.06
boot,0.066
boot,0.065
boot,0.06
boot,0.066
boot,0.054
boot,0.05
boot,0.059
boot,0.055
boot,0.045
boot,0.057
boot,0.055
boot,0.043
boot,0.05
boot,0.05
boot,0.063
boot,0.05
boot,0.06
boot,0.053
boot,0.05
boot,0.054
boot,0.054
boot,0.051
boot,0.048
boot,0.059
boot,0.057
boot,0.053
boot,0.053
boot,0.044
boot,0.033
boot,0.048
boot,0.05
boot,0.049
boot,0.055
boot,0.044
boot,0.049
boot,0.055
boot,0.048
boot,0.048
boot,0.064
boot,0.047
boot,0.068
boot,0.056
boot,0.047
boot,0.058
boot,0.055
boot,0.054
boot,0.054
boot,0.066
boot,0.044
boot,0.06
boot,0.044
boot,0.046
boot,0.058
boot,0.041
boot,0.059
boot,0.063
boot,0.06
boot,0.051
boot,0.052
boot,0.05
boot,0.059
boot,0.057
boot,0.047
boot,0.054
boot,0.053
boot,0.048
boot,0.053
boot,0.063
boot,0.057
boot,0.048
boot,0.042
boot,0.063
boot,0.057
boot,0.051
boot,0.052
boot,0.047
boot,0.048
boot,0.059
boot,0.051
boot,0.05
boot,0.042
boot,0.04
boot,0.054
boot,0.059
boot,0.054
boot,0.048
boot,0.045
boot,0.064
boot,0.047
boot,0.057
boot,0.052
boot,0.056
boot,0.048
boot,0.059
boot,0.058
boot,0.05
boot,0.06
boot,0.057
boot,0.043
boot,0.059
boot,0.042
boot,0.048
boot,0.05
boot,0.053
boot,0.054
boot,0.06
boot,0.054
boot,0.057
boot,0.047
boot,0.05
boot,0.042
boot,0.05
boot,0.046
boot,0.049
boot,0.063
boot,0.048
boot,0.04
boot,0.045
boot,0.042
boot,0.068
boot,0.041
boot,0.049
boot,0.058
boot,0.054
boot,0.061
boot,0.049
boot,0.051
boot,0.067
boot,0.051
boot,0.05
boot,0.063
boot,0.055
boot,0.074
boot,0.049
boot,0.053
boot,0.051
boot,0.059
boot,0.058
boot,0.046
boot,0.055
boot,0.059
boot,0.054
boot,0.057
boot,0.056
boot,0.051
boot,0.056
boot,0.044
boot,0.063
boot,0.051
boot,0.053
boot,0.06
boot,0.049
boot,0.059
boot,0.052
boot,0.05
boot,0.052
boot,0.05
boot,0.057
boot,0.058
boot,0.05
boot,0.061
boot,0.058
boot,0.05
boot,0.053
boot,0.055
boot,0.047
boot,0.047
boot,0.063
boot,0.056
boot,0.034
boot,0.052
boot,0.051
boot,0.048
boot,0.047
boot,0.06
boot,0.044
boot,0.05
boot,0.06
boot,0.052
boot,0.048
boot,0.059
boot,0.042
boot,0.053
boot,0.046
boot,0.059
boot,0.051
boot,0.062
boot,0.061
boot,0.051
boot,0.045
boot,0.038
boot,0.053
boot,0.048
boot,0.043
boot,0.06
boot,0.042
boot,0.043
boot,0.05
boot,0.052
boot,0.056
boot,0.04
boot,0.042
boot,0.047
boot,0.051
boot,0.05
boot,0.056
boot,0.047
boot,0.053
boot,0.056
boot,0.045
boot,0.044
boot,0.054
boot,0.063
boot,0.054
boot,0.045
boot,0.052
boot,0.048
boot,0.037
boot,0.055
boot,0.061
boot,0.048
boot,0.047
boot,0.054
boot,0.046
boot,0.042
boot,0.046
boot,0.042
boot,0.056
boot,0.062
boot,0.053
boot,0.047
boot,0.061
boot,0.068
boot,0.052
boot,0.045
boot,0.049
boot,0.037
boot,0.051
boot,0.053
boot,0.051
boot,0.043
boot,0.048
boot,0.062
boot,0.048
boot,0.059
boot,0.064
boot,0.046
boot,0.052
boot,0.047
boot,0.047
boot,0.046
boot,0.053
boot,0.048
boot,0.063
boot,0.056
boot,0.048
boot,0.064
boot,0.048
boot,0.051
boot,0.04
boot,0.06
boot,0.045
boot,0.065
boot,0.065
boot,0.052
boot,0.058
boot,0.051
boot,0.068
boot,0.038
boot,0.055
boot,0.048
boot,0.069
boot,0.038
boot,0.052
boot,0.047
boot,0.06
boot,0.062
boot,0.046
boot,0.05
boot,0.05
boot,0.04
boot,0.05
boot,0.058
boot,0.045
boot,0.05
boot,0.048
boot,0.049
boot,0.046
boot,0.054
boot,0.068
boot,0.047
boot,0.04
boot,0.051
boot,0.057
boot,0.059
boot,0.054
boot,0.042
boot,0.052
boot,0.06
boot,0.054
boot,0.047
boot,0.049
boot,0.049
boot,0.052
boot,0.065
boot,0.05
boot,0.048
boot,0.053
boot,0.046
boot,0.052
boot,0.048
boot,0.058
boot,0.048
boot,0.053
boot,0.049
boot,0.05
boot,0.057
boot,0.051
boot,0.056
boot,0.056
boot,0.059
boot,0.044
boot,0.047
boot,0.055
boot,0.064
boot,0.06
boot,0.048
boot,0.05
boot,0.058
boot,0.058
boot,0.047
boot,0.047
boot,0.054
boot,0.059
boot,0.045
boot,0.053
boot,0.054
boot,0.064
boot,0.056
boot,0.054
boot,0.043
boot,0.052
boot,0.058
boot,0.049
boot,0.065
boot,0.058
boot,0.049
boot,0.055
boot,0.059
boot,0.048
boot,0.04
boot,0.058
boot,0.049
